小区,户型,面积,价格,单价,朝向,电梯,位置,地铁
东方城市华庭,2室1厅1厨1卫,73.25㎡,408,55700元/平米,南,有,浦东 高行 中环至外环,近6号线东靖路站
达城锦园,3室2厅1厨1卫,97.79㎡,372,38041元/平米,西,有,浦东 康桥 外环外,
圣鑫苑,2室2厅1厨2卫,99.11㎡,350,35315元/平米,南 北,有,浦东 周浦 外环外,
连城新苑,2室2厅1厨1卫,92.59㎡,480,51842元/平米,南,有,浦东 高行 中环至外环,
浦江东旭公寓1443弄,2室2厅1厨1卫,82.5㎡,390,47273元/平米,东 西,有,浦东 高行 ,近6号线东靖路站
紫晶苑,3室2厅0厨1卫,103.61㎡,438,42274元/平米,南,无,浦东 张江 中环至外环,
城中花园,3室2厅1厨2卫,103.13㎡,485,47029元/平米,南,有,浦东 康桥 外环外,
美林小城,2室2厅1厨1卫,94.5㎡,418,44233元/平米,南,有,浦东 康桥 外环外,
中海御景熙岸(公寓),2室2厅1厨1卫,87.16㎡,435,49909元/平米,南,有,浦东 三林 外环外,
齐爱佳苑,2室1厅1厨1卫,81.38㎡,340,41780元/平米,南 北,无,浦东 唐镇 外环外,近2号线唐镇站
杉林新月环林东路879弄,2室1厅1厨1卫,70.99㎡,385,54233元/平米,南,无,浦东 三林 中环至外环,
繁荣安居,2室2厅1厨1卫,96.43㎡,380,39407元/平米,南,无,浦东 周浦 外环外,
绿川新苑,3室2厅1厨1卫,102.76㎡,480,46711元/平米,南,无,浦东 北蔡 内环至中环,
永泰花苑,2室1厅1厨1卫,72.28㎡,415,57416元/平米,南,有,浦东 三林 中环至外环,近11号线(花桥-迪士尼)三林站
杉林新月环林东路875弄,2室2厅1厨1卫,83.33㎡,450,54003元/平米,南,有,浦东 三林 中环至外环,
三林世博家园(新浦路199弄),2室1厅1厨1卫,77.22㎡,355,45973元/平米,南,有,浦东 杨思前滩 内环至中环,
绿地康桥新苑,2室2厅1厨1卫,77.3㎡,365,47219元/平米,南 北,无,浦东 康桥 外环外,
丰舍东苑,3室2厅1厨2卫,107.42㎡,428,39844元/平米,南 北,无,浦东 曹路 外环外,近9号线民雷路站
中海御景熙岸(公寓),3室2厅1厨1卫,88.32㎡,465,52650元/平米,南,有,浦东 三林 外环外,
浦发绿城浦三路2801弄,2室1厅1厨1卫,76.72㎡,345,44969元/平米,南,无,浦东 三林 中环至外环,近11号线(花桥-迪士尼)浦三路站
三林新村(永泰路136弄),2室1厅1厨1卫,75.81㎡,405,53424元/平米,南,有,浦东 三林 中环至外环,
绿地康桥新苑,2室2厅1厨1卫,81.48㎡,390,47865元/平米,南,无,浦东 康桥 外环外,
城中花园,2室2厅1厨1卫,99.95㎡,378,37819元/平米,南,有,浦东 康桥 外环外,
星晓家园,3室2厅1厨1卫,108.84㎡,390,35833元/平米,南,有,浦东 曹路 外环外,
杉林新月环林东路799弄,2室1厅1厨1卫,78.75㎡,418,53080元/平米,南,有,浦东 三林 中环至外环,近11号线(花桥-迪士尼)三林东站
中海御景熙岸(公寓),2室2厅1厨1卫,87.16㎡,369,42336元/平米,南,有,浦东 三林 外环外,
绿地崴廉公寓,2室2厅1厨1卫,92.56㎡,480,51859元/平米,南,有,浦东 高行 中环至外环,近12号线金京路站
桃园新城中虹佳园,3室1厅1厨1卫,93.28㎡,340,36450元/平米,南 北,无,浦东 周浦 外环外,
宜浩佳园,3室2厅1厨2卫,109.14㎡,370,33902元/平米,南 北,无,浦东 临港新城 外环外,
南新西园,3室2厅1厨1卫,107.39㎡,427,39762元/平米,南,有,浦东 外高桥 中环至外环,
浦发绿城浦三路2801弄,2室2厅1厨1卫,74.87㎡,340,45413元/平米,南,无,浦东 三林 中环至外环,近11号线(花桥-迪士尼)浦三路站
双秀西园,2室2厅1厨1卫,87.21㎡,370,42427元/平米,南 北,无,浦东 康桥 外环外,
桃园新城中虹佳园,3室2厅1厨1卫,104.48㎡,340,32543元/平米,南 北,无,浦东 周浦 外环外,
汇丽苑,3室2厅1厨2卫,77.01㎡,350,45449元/平米,南 北,无,浦东 周浦 外环外,
康桥宝邸,3室2厅1厨1卫,102.72㎡,360,35047元/平米,南,有,浦东 康桥 外环外,
南郊花园(公寓),2室2厅1厨1卫,92.48㎡,426,46065元/平米,南 北,无,浦东 周浦 外环外,
玉兰香苑(三期),2室2厅1厨1卫,91.83㎡,475,51727元/平米,南,有,浦东 张江 中环至外环,
城中花园,2室2厅1厨1卫,106.89㎡,440,41164元/平米,南,有,浦东 康桥 外环外,
金领国际(公寓),2室2厅1厨1卫,84.84㎡,310,36540元/平米,南,有,浦东 曹路 外环外,
绿川新苑,2室2厅1厨1卫,82.86㎡,414,49964元/平米,南 北,无,浦东 北蔡 内环至中环,
伟业金锦苑一村,2室2厅1厨1卫,84.39㎡,438,51902元/平米,南,无,浦东 高行 中环至外环,近12号线东陆路站
双秀西园,2室2厅0厨1卫,79.84㎡,310,38828元/平米,南,有,浦东 康桥 外环外,
绿川馨康苑,2室1厅1厨1卫,84.21㎡,435,51657元/平米,南,无,浦东 北蔡 内环至中环,近13号线陈春路站
惠浦公寓,2室2厅1厨2卫,99.89㎡,400,40045元/平米,南,无,浦东 周浦 外环外,
绿川新苑,2室2厅1厨1卫,92.31㎡,440,47666元/平米,南,无,浦东 北蔡 内环至中环,
绿地康桥新苑,2室2厅1厨1卫,71㎡,305,42958元/平米,南 北,无,浦东 康桥 外环外,
绿地康桥新苑,2室2厅1厨1卫,81.85㎡,388,47404元/平米,南 北,无,浦东 康桥 外环外,
绿洲康城亲水湾(中央区),2室2厅1厨2卫,108.11㎡,495,45787元/平米,南 北,有,浦东 御桥 中环至外环,
三林世博家园(板泉路2000弄),3室2厅1厨1卫,95.11㎡,460,48366元/平米,南,有,浦东 杨思前滩 内环至中环,
齐爱佳苑,2室1厅0厨1卫,81.66㎡,389,47637元/平米,南,无,浦东 唐镇 外环外,近2号线唐镇站
绿川新苑,2室2厅1厨1卫,99.86㎡,480,48068元/平米,南,无,浦东 北蔡 内环至中环,
天和湖滨家园(公寓),2室2厅1厨1卫,93.12㎡,302,32432元/平米,南,有,浦东 川沙 外环外,
华川家园,2室2厅1厨1卫,81.04㎡,350,43189元/平米,南,暂无数据,浦东 川沙 外环外,近2号线凌空路站
和龙新苑,2室2厅1厨1卫,84.22㎡,350,41558元/平米,南,无,浦东 外高桥 中环至外环,近6号线港城路站
万科清林径,3室1厅1厨1卫,94㎡,310,32979元/平米,南,有,浦东 新场 外环外,
绿地康桥新苑,2室2厅1厨1卫,87.58㎡,405,46244元/平米,南 北,有,浦东 康桥 外环外,
三林世博家园(东书房路390弄),2室1厅0厨1卫,73.35㎡,373,50853元/平米,南,无,浦东 杨思前滩 内环至中环,
绿地康桥新苑,2室2厅1厨1卫,76.31㎡,366,47963元/平米,南 北,无,浦东 康桥 外环外,
浦发绿城浦三路2801弄,2室2厅1厨1卫,81.08㎡,400,49334元/平米,南,无,浦东 三林 中环至外环,近11号线(花桥-迪士尼)浦三路站
绿地康桥新苑,2室2厅1厨1卫,77.75㎡,370,47589元/平米,南,无,浦东 康桥 外环外,
绿地康桥新苑,2室2厅1厨1卫,88㎡,410,46591元/平米,南 北,有,浦东 康桥 外环外,
美林小城,2室2厅1厨1卫,84.34㎡,365,43278元/平米,南,无,浦东 康桥 外环外,
双秀西园,2室2厅1厨1卫,87.47㎡,360,41157元/平米,南,无,浦东 康桥 外环外,
东方冠郡,2室2厅1厨1卫,99.67㎡,315,31605元/平米,南,有,浦东 新场 外环外,
海尚康庭,2室1厅1厨1卫,72.84㎡,300,41187元/平米,南,无,浦东 康桥 外环外,
莱阳新家园,3室2厅1厨1卫,96.33㎡,440,45677元/平米,南,无,浦东 金桥 中环至外环,近12号线东陆路站
绿川新苑,3室1厅1厨1卫,104.01㎡,456,43842元/平米,南,无,浦东 北蔡 内环至中环,
曹路家苑,2室2厅1厨1卫,90.53㎡,443.5,48990元/平米,南 北,有,浦东 曹路 外环外,
圣鑫苑,2室2厅1厨1卫,93㎡,425,45699元/平米,南 北,有,浦东 周浦 外环外,
金领国际(公寓),2室2厅1厨1卫,88㎡,330,37500元/平米,南,有,浦东 曹路 外环外,
金杨新村十一街坊,2室2厅1厨1卫,87.8㎡,465,52962元/平米,南 北,无,浦东 金杨 内环至中环,
东兴苑,3室2厅1厨2卫,107.53㎡,440,40919元/平米,南,无,浦东 外高桥 中环至外环,近6号线港城路站
圣鑫苑,2室2厅1厨1卫,93.97㎡,370,39375元/平米,南 北,有,浦东 周浦 外环外,
绿川新苑,2室2厅1厨1卫,90.82㎡,450,49549元/平米,南,无,浦东 北蔡 内环至中环,
繁荣安居,2室2厅1厨1卫,94.43㎡,330,34947元/平米,南 北,有,浦东 周浦 外环外,
绿地东上海二期,2室2厅1厨1卫,88.04㎡,455,51682元/平米,南 北,有,浦东 周浦 外环外,
铂庭俱进家园,2室2厅1厨1卫,86.47㎡,460,53198元/平米,南,有,浦东 高行 中环至外环,
紫翠苑,3室2厅1厨1卫,94.56㎡,405,42830元/平米,东南,无,浦东 高行 中环至外环,
浦发绿城永泰路2079弄,3室2厅1厨1卫,103.41㎡,443,42840元/平米,南 北,无,浦东 三林 ,近11号线(花桥-迪士尼)浦三路站
美林小城,3室2厅1厨1卫,105.25㎡,480,45606元/平米,南,有,浦东 康桥 外环外,
桃园新城中虹佳园,3室2厅0厨1卫,104.48㎡,385,36850元/平米,南 北,无,浦东 周浦 外环外,
川杨新苑(六期),2室2厅1厨1卫,82.73㎡,375,45329元/平米,南,无,浦东 张江 中环至外环,近13号线张江路站
金枫公寓,2室2厅1厨1卫,99.11㎡,350,35315元/平米,南,无,浦东 唐镇 外环外,
日月星城,2室2厅0厨1卫,85.9㎡,340,39581元/平米,南,有,浦东 周浦 外环外,
明天华城,2室2厅1厨1卫,88.88㎡,450,50631元/平米,南,有,浦东 周浦 外环外,
仙都绿苑,2室1厅1厨1卫,73.35㎡,365,49762元/平米,西南,有,浦东 金杨 内环至中环,
绿地康桥新苑,2室1厅1厨1卫,77.44㎡,365,47134元/平米,南,无,浦东 康桥 外环外,
美林小城,2室2厅1厨1卫,84.25㎡,363,43087元/平米,南 北,无,浦东 康桥 外环外,
金巷小区,2室1厅1厨1卫,73㎡,348,47672元/平米,南,有,浦东 金桥 中环至外环,近9号线台儿庄路站
菱翔苑,2室2厅1厨2卫,105.28㎡,438,41604元/平米,南,有,浦东 周浦 外环外,
高行绿洲(五期),3室1厅1厨1卫,93.3㎡,379,40622元/平米,南,有,浦东 高行 中环至外环,近6号线外高桥保税区南站
中海御景熙岸(公寓),2室2厅1厨1卫,87.16㎡,435,49909元/平米,南,有,浦东 三林 外环外,
圣鑫苑,2室2厅0厨1卫,99.38㎡,370,37231元/平米,南,有,浦东 周浦 外环外,
新高苑(一期),2室2厅1厨1卫,85.3㎡,405,47480元/平米,南,无,浦东 高行 中环至外环,
春港丽园(公寓),2室1厅1厨1卫,76.91㎡,348,45248元/平米,南,无,浦东 张江 内环至中环,
海尚康庭,3室2厅1厨1卫,99.52㎡,380,38184元/平米,南 北,无,浦东 康桥 外环外,
高行绿洲(五期),3室1厅1厨1卫,93.4㎡,385,41221元/平米,南,有,浦东 高行 中环至外环,近6号线外高桥保税区南站
汇丽苑,2室2厅1厨1卫,94.57㎡,360,38068元/平米,南 北,有,浦东 周浦 外环外,
新高苑(三期),2室2厅0厨1卫,83.38㎡,414,49653元/平米,南,无,浦东 高行 ,
保利林语溪(公寓),2室2厅1厨2卫,89.63㎡,480,53554元/平米,南 北,有,浦东 三林 外环外,
双秀北园,2室2厅1厨1卫,95.28㎡,390,40932元/平米,南,无,浦东 康桥 外环外,
三林世博家园(东书房路390弄),2室1厅1厨1卫,76.65㎡,390,50881元/平米,南,有,浦东 杨思前滩 内环至中环,
新高苑(一期),2室2厅1厨1卫,85.3㎡,425,49825元/平米,南 北,有,浦东 高行 中环至外环,
中海御景熙岸(公寓),3室2厅0厨1卫,88.41㎡,446,50447元/平米,南,有,浦东 三林 外环外,
城中花园,2室2厅1厨1卫,97.68㎡,399,40848元/平米,南,有,浦东 康桥 外环外,
三林世博家园(东书房路560弄),3室2厅1厨1卫,97.6㎡,470,48156元/平米,南,无,浦东 杨思前滩 内环至中环,
浦江东旭公寓1443弄,2室2厅1厨1卫,84㎡,425,50596元/平米,南,有,浦东 高行 ,近6号线东靖路站
中海御景熙岸(公寓),3室2厅1厨1卫,88.32㎡,465,52650元/平米,南,有,浦东 三林 外环外,
星纳家园,2室1厅1厨1卫,79.31㎡,312,39340元/平米,南 北,有,浦东 曹路 外环外,
城中花园,2室2厅1厨1卫,97.64㎡,410,41991元/平米,南 北,有,浦东 康桥 外环外,
民建新村,2室1厅1厨1卫,71.23㎡,350,49137元/平米,南,无,浦东 曹路 ,近9号线顾唐路站
三林世博家园(东书房路560弄),3室2厅1厨1卫,95.64㎡,490,51234元/平米,南,无,浦东 杨思前滩 内环至中环,
杉林新月环林东路879弄,2室2厅1厨1卫,74.44㎡,415,55750元/平米,南 北,无,浦东 三林 中环至外环,
海尚康庭,3室1厅1厨1卫,99.07㎡,365,36843元/平米,南 北,无,浦东 康桥 外环外,
海尚乐苑,2室2厅1厨1卫,78.34㎡,312,39827元/平米,南,有,浦东 康桥 外环外,近16号线周浦东站
城中花园,2室2厅1厨1卫,99.59㎡,395,39663元/平米,南,有,浦东 康桥 外环外,
汇枫公寓,3室1厅1厨1卫,95.34㎡,320,33565元/平米,南 北,有,浦东 周浦 外环外,
中海御景熙岸(公寓),2室2厅0厨1卫,87.16㎡,425,48761元/平米,南,有,浦东 三林 外环外,
桃园新城中虹佳园,3室2厅1厨1卫,93.28㎡,342,36664元/平米,南,无,浦东 周浦 外环外,
保利金色唐城,3室2厅1厨2卫,81.11㎡,468,57700元/平米,南,无,浦东 唐镇 外环外,
美林小城,2室2厅1厨1卫,95.81㎡,435,45403元/平米,南 北,有,浦东 康桥 外环外,
中海御景熙岸(公寓),2室2厅1厨1卫,87.16㎡,438,50253元/平米,南,有,浦东 三林 外环外,
安康新村,2室2厅1厨1卫,79.07㎡,320,40471元/平米,南 北,无,浦东 周浦 外环外,
康桥宝邸,2室2厅1厨1卫,74.79㎡,309,41316元/平米,南 北,无,浦东 康桥 外环外,
保利金爵公寓,2室1厅1厨1卫,86.15㎡,480,55717元/平米,东南,有,浦东 唐镇 外环外,
长岛公寓,2室2厅1厨1卫,77.09㎡,340,44105元/平米,南,有,浦东 金桥 中环至外环,
明天华城,2室2厅1厨1卫,88.29㎡,475,53800元/平米,南,有,浦东 周浦 外环外,
三林世博家园(板泉路2000弄),2室2厅1厨1卫,73.19㎡,380,51920元/平米,南,无,浦东 杨思前滩 内环至中环,
美林小城,2室2厅1厨1卫,81.43㎡,365,44824元/平米,南,无,浦东 康桥 外环外,
康桥宝邸,2室2厅1厨1卫,74.61㎡,315,42220元/平米,南,无,浦东 康桥 外环外,
和合新村,2室2厅1厨1卫,72.73㎡,370,50874元/平米,南 北,无,浦东 御桥 中环至外环,近11号线(花桥-迪士尼)御桥站
康桥宝邸,3室2厅1厨1卫,101.88㎡,370,36318元/平米,南 北,有,浦东 康桥 外环外,
绿地东上海二期,2室2厅1厨1卫,91.57㎡,425,46413元/平米,南 北,有,浦东 周浦 外环外,
万科清林径,3室2厅1厨1卫,98㎡,330,33674元/平米,南,有,浦东 新场 外环外,
海尚康庭,2室1厅1厨1卫,73.18㎡,303,41405元/平米,南,无,浦东 康桥 外环外,
印象春城,2室2厅1厨1卫,88.5㎡,370,41808元/平米,南,有,浦东 周浦 外环外,
达城锦园,2室2厅1厨1卫,75.68㎡,310,40962元/平米,南,有,浦东 康桥 外环外,
康湾苑,2室2厅1厨1卫,90.57㎡,350,38645元/平米,南 北,有,浦东 康桥 外环外,
金领国际(公寓),2室2厅1厨1卫,90.05㎡,330,36647元/平米,南 北,有,浦东 曹路 外环外,
河滨城市花园,2室2厅1厨1卫,89.08㎡,379,42547元/平米,南,有,浦东 曹路 外环外,近9号线顾唐路站
三林世博家园(板泉路2101弄),2室1厅1厨1卫,73.32㎡,395,53874元/平米,南,无,浦东 杨思前滩 内环至中环,
三林世博家园(板泉路2000弄),2室2厅1厨1卫,73.19㎡,385,52603元/平米,南,无,浦东 杨思前滩 内环至中环,
双秀西园,2室2厅1厨1卫,79.84㎡,319,39955元/平米,南,有,浦东 康桥 外环外,
中海御景熙岸(公寓),2室2厅1厨1卫,87.16㎡,430,49335元/平米,南,有,浦东 三林 外环外,
双秀北园,2室1厅1厨1卫,80㎡,340,42500元/平米,南,无,浦东 康桥 外环外,
舜峰家苑,2室1厅1厨1卫,76.46㎡,300,39237元/平米,南,有,浦东 曹路 外环外,
创新佳苑,2室1厅1厨1卫,87.27㎡,405,46408元/平米,南,有,浦东 唐镇 外环外,近2号线创新中路站
康桥宝邸,2室1厅1厨1卫,82.89㎡,330,39812元/平米,南 北,有,浦东 康桥 外环外,
印象春城,2室2厅1厨1卫,87.99㎡,350,39778元/平米,南,有,浦东 周浦 外环外,
金领国际(公寓),2室2厅1厨1卫,89.34㎡,310,34699元/平米,南,有,浦东 曹路 外环外,
金钻苑南区,2室2厅1厨2卫,90.85㎡,360,39626元/平米,南,无,浦东 曹路 外环外,近9号线曹路站
齐爱佳苑,2室1厅1厨1卫,82.6㎡,387,46853元/平米,南,无,浦东 唐镇 外环外,近2号线唐镇站
印象春城,2室1厅1厨1卫,89.72㎡,408,45475元/平米,南,有,浦东 周浦 外环外,
三林世博家园(大道站路94弄),2室2厅1厨1卫,83.75㎡,385,45971元/平米,南,无,浦东 杨思前滩 内环至中环,
保利金爵公寓,2室2厅1厨1卫,90.06㎡,485,53853元/平米,南,有,浦东 唐镇 外环外,
保利金爵公寓,2室2厅0厨1卫,90.67㎡,466,51396元/平米,南,有,浦东 唐镇 外环外,
印象春城,2室1厅1厨1卫,87.9㎡,383,43573元/平米,南,有,浦东 周浦 外环外,
沈默花苑,2室2厅1厨1卫,105㎡,440,41905元/平米,南,有,浦东 周浦 外环外,
保利金爵公寓,2室2厅1厨1卫,91.53㎡,486,53098元/平米,南 北,有,浦东 唐镇 外环外,
绿地康桥新苑,2室2厅1厨1卫,77.44㎡,350,45197元/平米,南 北,无,浦东 康桥 外环外,
